Index,Name,Phone No,Email Id,Website,Address,Additional Details
0,QUAVER STUDIO Audio Recording Workstation,9435672810,,,J.B.ROAD. Macharhat.,"Quaver Studio Audio Recording Workstation,where Music composing,Arrangement,Mixing,Mastering and audio recording all works done here."
1,"Studio Photo Point, Photo Studio in Jorhat, Assam",,,,"Unnayan Super Market
Jorhat, Assam
Pin-785001","Studio Photo Point, Photo Studio in Jorhat, Assam"
2,"Mazumba Media & Entertainment, Audio & Video Recording Studio in Jorhat, Assam",,,,"Rajamaidam, New Colony
Jorhat, Assam
Pin-785001","Mazumba Media & Entertainment, Audio & Video Recording Studio in Jorhat, Assam"
3,"Studio Audio World, Audio & Video Recording Studio in Jorhat, Assam",,,,"Jail Road
Jorhat, Assam
Pin-785001","Studio Audio World, Audio & Video Recording Studio in Jorhat, Assam"
4,"Studio Rang, Audio & Video Recording Studio in Jorhat, Assam",,,,"A.T.Road, Tarajan
Jorhat, Assam
Pin-785001","Studio Rang, Audio & Video Recording Studio in Jorhat, Assam"
5,"Photo Cafe, Photography Studio in Jorhat, Assam",,,,"Unnayan Super Market, 1st Floor
Jorhat, Assam
Pin-785001","Photo Cafe, Photography Studio in Jorhat, Assam"
6,"Studio Destiny, Audio & Video Recording Studio in Jorhat, Assam",,,,"A.T.Road
Teok, Assam
Pin-785112","Studio Destiny, Audio & Video Recording Studio in Jorhat, Assam"
